content,tokens,context,questions
"I want to make internet access affordable for all because I think everyone should have the ability to ask a question and get a straight answer. You might think this is a nice, utopian but very expensive idea. I think otherwise. However, before going any further into why I think my goal is achievable without any major infrastructure spending program or technological breakthrough for that matter, I want us to be clear on what the internet is….
In an age of instantaneous data transfers and magical handheld devices, it’s easy to forget that the internet is physical. The internet is made up of fiber optic cables, data centers, massive co location centers like 60 Hudson Street in New York, servers, routers, cell phone towers, portions of the electromagnetic spectrum, and virtually any physical medium that allows data to be stored and transferred from one point to another using the TCP/IP protocol.
Most of this internet infrastructure is owned or leased by private enterprises. When you run a google search on your smartphone, you are accessing this infrastructure, and at month end when you make a payment to your mobile network operator or internet service provider you are indirectly paying a toll or fee required to access this internet infrastructure. Such tolls and fees help mobile network operators and internet infrastructure owners cover their own costs and earn a financial return as well.
The earliest known internet infrastructure was paid for by the US Government to make powerful computers more accessible to American researcher. Back then, accessing the internet was free for researchers, and expansion of internet infrastructure was centrally coordinated. Then in 1995 the US Govt owned infrastructure got privatized. In the same year the GSMA got established, which stands today as the largest global trade body of mobile network operators. The GSMA helped in creating standards which enabled the launch of SMS, Data and Fax services over wireless networks.",365,"I want to make internet access affordable for all because I think everyone should have the ability to ask a question and get a straight answer. You might think this is a nice, utopian but very expensive idea. I think otherwise. However, before going any further into why I think my goal is achievable without any major infrastructure spending program or technological breakthrough for that matter, I want us to be clear on what the internet is….
In an age of instantaneous data transfers and magical handheld devices, it’s easy to forget that the internet is physical. The internet is made up of fiber optic cables, data centers, massive co location centers like 60 Hudson Street in New York, servers, routers, cell phone towers, portions of the electromagnetic spectrum, and virtually any physical medium that allows data to be stored and transferred from one point to another using the TCP/IP protocol.
Most of this internet infrastructure is owned or leased by private enterprises. When you run a google search on your smartphone, you are accessing this infrastructure, and at month end when you make a payment to your mobile network operator or internet service provider you are indirectly paying a toll or fee required to access this internet infrastructure. Such tolls and fees help mobile network operators and internet infrastructure owners cover their own costs and earn a financial return as well.
The earliest known internet infrastructure was paid for by the US Government to make powerful computers more accessible to American researcher. Back then, accessing the internet was free for researchers, and expansion of internet infrastructure was centrally coordinated. Then in 1995 the US Govt owned infrastructure got privatized. In the same year the GSMA got established, which stands today as the largest global trade body of mobile network operators. The GSMA helped in creating standards which enabled the launch of SMS, Data and Fax services over wireless networks.","1. What is the internet?
2. What is the GSMA?
3. What was the role of the GSMA in the development of the internet?"
"This intersection of internet infrastructure privatization and launch of wireless services worldwide created a gold rush of sorts because selling connectivity services without laying down cables or wires seemed like an attractive idea to investors in telecom companies. This also meant that many telecom companies offering virtually identical services would end up building excess and overlapping infrastructure to win over customers.
For example, when mobile network operators started building out their respective wireless networks around the world, they made a conscious decision not to share cell towers because in the early days of network roll outs, coverage was viewed as a competitive advantage. A mobile network operator with presence in 60 cities was a more promising story than one with presence in 50 cities. Thus, mobile network operators often constructed cell towers right next to each other and this choice led to a scenario which was equivalent to a country building 4 to 5 overlapping highways that could not connect with one another.",173,"This intersection of internet infrastructure privatization and launch of wireless services worldwide created a gold rush of sorts because selling connectivity services without laying down cables or wires seemed like an attractive idea to investors in telecom companies. This also meant that many telecom companies offering virtually identical services would end up building excess and overlapping infrastructure to win over customers.
For example, when mobile network operators started building out their respective wireless networks around the world, they made a conscious decision not to share cell towers because in the early days of network roll outs, coverage was viewed as a competitive advantage. A mobile network operator with presence in 60 cities was a more promising story than one with presence in 50 cities. Thus, mobile network operators often constructed cell towers right next to each other and this choice led to a scenario which was equivalent to a country building 4 to 5 overlapping highways that could not connect with one another.","1. What is the author's main point?
2. What are some of the consequences of telecom companies not sharing cell towers?
3. What does this scenario look like in terms of infrastructure?"
"Today, most mobile network operators no longer view coverage as a competitive advantage because a lot of the wireless infrastructure needed to provide coverage has already been built, in fact in many areas it has been over built. According to the International Telecommunication Union, 95% of the world population is touched in some way or form by a basic cellular network. Yet, we live in a situation where half the world population cannot get online largely because they cannot afford to pay the tolls and fees needed to access this information highway.
The silver lining though is that many of these overbuilt highways I speak of are under utilized, meaning capacity clearly exists to accommodate a lot more traffic. However, accommodating more traffic will require these information highways to be shared and connected more effectively so that key choke points can be released.",159,"Today, most mobile network operators no longer view coverage as a competitive advantage because a lot of the wireless infrastructure needed to provide coverage has already been built, in fact in many areas it has been over built. According to the International Telecommunication Union, 95% of the world population is touched in some way or form by a basic cellular network. Yet, we live in a situation where half the world population cannot get online largely because they cannot afford to pay the tolls and fees needed to access this information highway.
The silver lining though is that many of these overbuilt highways I speak of are under utilized, meaning capacity clearly exists to accommodate a lot more traffic. However, accommodating more traffic will require these information highways to be shared and connected more effectively so that key choke points can be released.","1. What is the main point of the text?
2. What is the main reason why people can't get online?
3. What is the silver lining of the text?"
"To facilitate sharing and remove choke points, infrastructure sharing companies have emerged. An infrastructure sharing company typically buys and leases back a piece of infrastructure like a cell tower to enable sharing. Three mobile network operators sharing one cell tower results in lower operating and maintenance costs for all compared to a situation when one mobile network company uses one tower all by itself. Lowering of operating costs makes it more feasible to serve customers who want to get online but cannot afford to do so.
At present 62% of total cell phone towers around the world are owned by infrastructure sharing companies, and while that number looks encouraging do bear in mind that cell towers are just one piece of internet infrastructure. To highlight this point further, even today most mobile network operators are not sharing the electronic equipment which gets installed on cell towers.",158,"To facilitate sharing and remove choke points, infrastructure sharing companies have emerged. An infrastructure sharing company typically buys and leases back a piece of infrastructure like a cell tower to enable sharing. Three mobile network operators sharing one cell tower results in lower operating and maintenance costs for all compared to a situation when one mobile network company uses one tower all by itself. Lowering of operating costs makes it more feasible to serve customers who want to get online but cannot afford to do so.
At present 62% of total cell phone towers around the world are owned by infrastructure sharing companies, and while that number looks encouraging do bear in mind that cell towers are just one piece of internet infrastructure. To highlight this point further, even today most mobile network operators are not sharing the electronic equipment which gets installed on cell towers.","1. What is an infrastructure sharing company?
2. What does an infrastructure sharing company typically do?
3. What are the benefits of infrastructure sharing?
4. What is the current percentage of cell phone towers that are owned by infrastructure sharing companies?
5. What is the main obstacle to infrastructure sharing?"
"While electronic equipment on cell towers in not being shared at present, it is continuing to become a lot more energy efficient and smaller in size as well. Just like mainframe computers morphed into laptops and tablets, the same trend is playing out in the world of wireless communication equipment. So while the cell towers or the power capacity attached to those towers is staying the same size, the equipment which gets installed on them is becoming a lot smaller and energy efficient.
Even using the older larger telecom equipment as a proxy, I can tell you that most cell towers have the capacity to accommodate twice as much electronic equipment as they do today.
The larger implication is that by renting out a little bit of space on cell towers which is not getting used to begin with, combined with energy efficient small size electronic equipment, while utilizing the immense computing capacity available in billions of smart phones, a company or cooperative could theoretically create a connectivity service that is a lot cheaper than any alternative simply because this new service I speak of would not have to build infrastructure to get coverage in the first place and will not be held back by highly bureaucratic processes either.
A good example is FabFi, which is a wireless internet network made by MIT’s FabLab in Jalalabad Afghanistan using trash in 2010. This network remains one of the cheapest wireless networks ever built. If instead of trash, what if FabFi equipment could be installed on small little rented spaces on towers across the globe? Could such an idea help make internet access affordable and ubiquitous?",304,"While electronic equipment on cell towers in not being shared at present, it is continuing to become a lot more energy efficient and smaller in size as well. Just like mainframe computers morphed into laptops and tablets, the same trend is playing out in the world of wireless communication equipment. So while the cell towers or the power capacity attached to those towers is staying the same size, the equipment which gets installed on them is becoming a lot smaller and energy efficient.
Even using the older larger telecom equipment as a proxy, I can tell you that most cell towers have the capacity to accommodate twice as much electronic equipment as they do today.
The larger implication is that by renting out a little bit of space on cell towers which is not getting used to begin with, combined with energy efficient small size electronic equipment, while utilizing the immense computing capacity available in billions of smart phones, a company or cooperative could theoretically create a connectivity service that is a lot cheaper than any alternative simply because this new service I speak of would not have to build infrastructure to get coverage in the first place and will not be held back by highly bureaucratic processes either.
A good example is FabFi, which is a wireless internet network made by MIT’s FabLab in Jalalabad Afghanistan using trash in 2010. This network remains one of the cheapest wireless networks ever built. If instead of trash, what if FabFi equipment could be installed on small little rented spaces on towers across the globe? Could such an idea help make internet access affordable and ubiquitous?","1. What is the trend in wireless communication equipment?
2. How is this trend impacting cell towers?
3. What is the potential for a new service that uses small, energy efficient equipment?
4. How does FabFi provide wireless internet access?"
"To some extent yes, but a global FabFi type wireless network will require access to something called spectrum. Spectrum is basically airwaves which are used by mobile network operators, TV stations and radio stations to transmit signals. Some spectrum like the one used by Wi-Fi routers or Bluetooth devices is free to use, most of it though, is allocated through auctions by governments. Governments have been known to charge as much as possible for licensing spectrum, and this desire to maximize spectrum price is a major factor other than the overlapping infrastructure capacity which keeps cost of connectivity high. The silver lining here is that similar to all other pieces of internet infrastructure, spectrum can also be shared.
A great example of a product using amateur spectrum on a shared basis is FireChat, this product is a messenger that works without an internet connection because FireChat creates a network of smart phones. If a quarter of people in this hall had FireChat installed and were equally spread out, I could send a message all the way to the back of the hall through FireChat without switching on my data service.",214,"To some extent yes, but a global FabFi type wireless network will require access to something called spectrum. Spectrum is basically airwaves which are used by mobile network operators, TV stations and radio stations to transmit signals. Some spectrum like the one used by Wi-Fi routers or Bluetooth devices is free to use, most of it though, is allocated through auctions by governments. Governments have been known to charge as much as possible for licensing spectrum, and this desire to maximize spectrum price is a major factor other than the overlapping infrastructure capacity which keeps cost of connectivity high. The silver lining here is that similar to all other pieces of internet infrastructure, spectrum can also be shared.
A great example of a product using amateur spectrum on a shared basis is FireChat, this product is a messenger that works without an internet connection because FireChat creates a network of smart phones. If a quarter of people in this hall had FireChat installed and were equally spread out, I could send a message all the way to the back of the hall through FireChat without switching on my data service.","1. What is spectrum and why is it important for a global FabFi type wireless network?
2. How much do governments charge for licensing spectrum and why?
3. Can spectrum be shared and if so, how?
4. What is FireChat and how does it work?"
"So clearly we have a situation where the technology and infrastructure capacity both exist to reduce the cost of internet access, but such technologies are not well distributed. Why?

Primarily because mobile network operators have created an inflated cost base which makes it impossible to provide internet services to less affluent communities, but also because FabFi like solutions appear quite technical in nature. Good thing is that already there are many companies consciously innovating to make wireless communication equipment a lot more modular and user friendly. Examples of such products include the Supabrick by BRCK and MeshPotato by Village Telco Project.",120,"So clearly we have a situation where the technology and infrastructure capacity both exist to reduce the cost of internet access, but such technologies are not well distributed. Why?

Primarily because mobile network operators have created an inflated cost base which makes it impossible to provide internet services to less affluent communities, but also because FabFi like solutions appear quite technical in nature. Good thing is that already there are many companies consciously innovating to make wireless communication equipment a lot more modular and user friendly. Examples of such products include the Supabrick by BRCK and MeshPotato by Village Telco Project.","1. What is the main reason why the technology to reduce the cost of internet access is not well distributed?
2. What makes wireless communication equipment more modular and user friendly?"
"A combination of shared infrastructure, user friendly wireless equipment and amateur spectrum will not prove sufficient to live stream Game of Thrones in high definition, but such a service will make it feasible to run a basic google search and steam an audio podcast as well.
I envision a future when a Kalasha girl living in Northwest Pakistan can afford to own a device which she can speak into in her own language and get a straight answer. This is not feasible today considering 56% of web content is English, she can barely afford a smartphone and speech to text technologies have not quite matured. However, I stand convinced that a day will arrive when she will be able to speak into a device, ask a question about how best to treat her daughter’s fever, and get a straight answer. When that day comes, I want to ensure that this girl right here can afford to access the internet.",177,"A combination of shared infrastructure, user friendly wireless equipment and amateur spectrum will not prove sufficient to live stream Game of Thrones in high definition, but such a service will make it feasible to run a basic google search and steam an audio podcast as well.
I envision a future when a Kalasha girl living in Northwest Pakistan can afford to own a device which she can speak into in her own language and get a straight answer. This is not feasible today considering 56% of web content is English, she can barely afford a smartphone and speech to text technologies have not quite matured. However, I stand convinced that a day will arrive when she will be able to speak into a device, ask a question about how best to treat her daughter’s fever, and get a straight answer. When that day comes, I want to ensure that this girl right here can afford to access the internet.","1. What is the main point of the text?
2. What does the author think is necessary for people to be able to access the internet?
3. What does the author think is necessary for people to be able to use the internet?"
"At present I don’t have a business model in my mind that will help me sustain this quest for answers, but I have roughly 3 years worth of savings to push this conversation as far as possible. I believe the best way to predict the future is to create it and that is why I decided to quit my career from the world of private equity investments and corporate board rooms.
I learned recently that there are 43 quintillion possible combinations of a Rubik’s cube, but in any position there are 20 moves that solves the cube. However, you have to get the first few moves right. I am convinced that making internet access affordable for all is an optimal first move. If we get this first move right I believe overcoming other global grand challenges we face today will become a lot easier as well, and we will finally become able to regulate this cyber river which we’ve all grown to depend on for our survival and prosperity.",191,"At present I don’t have a business model in my mind that will help me sustain this quest for answers, but I have roughly 3 years worth of savings to push this conversation as far as possible. I believe the best way to predict the future is to create it and that is why I decided to quit my career from the world of private equity investments and corporate board rooms.
I learned recently that there are 43 quintillion possible combinations of a Rubik’s cube, but in any position there are 20 moves that solves the cube. However, you have to get the first few moves right. I am convinced that making internet access affordable for all is an optimal first move. If we get this first move right I believe overcoming other global grand challenges we face today will become a lot easier as well, and we will finally become able to regulate this cyber river which we’ve all grown to depend on for our survival and prosperity.","1. What is the speaker's business model?
2. How long does the speaker have to achieve their goals?
3. What is the speaker's first move?"
"Why do I crave relevance?
I crave for relevance because feeling relevant truly makes me feel alive.

Days when I feel irrelevant are terrible, and often bring out the worst in me because all my insecurities get triggered when I’m feeling irrelevant. I’ve still not reached a level of emotional awareness required to navigate through those days.

I can explain away my behavior as cause and effect, but then why do I grudge another for also craving the feeling of relevance?

Why am I unable to internalize that when those craving relevance don’t receive it, their insecurities get triggered and they react badly (same way as I do).

Why is relevance so hard to share?

Is relevance finite?

Why does relevance always come at a cost?",167,"Why do I crave relevance?
I crave for relevance because feeling relevant truly makes me feel alive.

Days when I feel irrelevant are terrible, and often bring out the worst in me because all my insecurities get triggered when I’m feeling irrelevant. I’ve still not reached a level of emotional awareness required to navigate through those days.

I can explain away my behavior as cause and effect, but then why do I grudge another for also craving the feeling of relevance?

Why am I unable to internalize that when those craving relevance don’t receive it, their insecurities get triggered and they react badly (same way as I do).

Why is relevance so hard to share?

Is relevance finite?

Why does relevance always come at a cost?","1. Why do you crave relevance?
2. What are the consequences of not feeling relevant?
3. Why is it so hard to share relevance?
4. Is relevance finite?
5. Why does relevance always come at a cost?"
"Why is relevance so hard to share?

Is relevance finite?

Why does relevance always come at a cost?

In a world of scarcity the mind has grown to internalize that anything that really makes us feel good (like the feeling of relevance) must be scarce because hey all good things are scarce. In fact some even think that unless a thing is scarce, it can’t really be good. Is that really the case though? I’m not sure. What do you think?

I think it’s critical that we move towards a world of abundance and start with making the feeling of relevance abundant to all lives we touch (including our own).

Why do people still try to steal credit for other people’s work in efforts which are truly in everyone’s best interest? Why do so many people publicly proclaim that they want to make the world a better place but rarely do they talk about their need to be admired or their need to be loved?",206,"Why is relevance so hard to share?

Is relevance finite?

Why does relevance always come at a cost?

In a world of scarcity the mind has grown to internalize that anything that really makes us feel good (like the feeling of relevance) must be scarce because hey all good things are scarce. In fact some even think that unless a thing is scarce, it can’t really be good. Is that really the case though? I’m not sure. What do you think?

I think it’s critical that we move towards a world of abundance and start with making the feeling of relevance abundant to all lives we touch (including our own).

Why do people still try to steal credit for other people’s work in efforts which are truly in everyone’s best interest? Why do so many people publicly proclaim that they want to make the world a better place but rarely do they talk about their need to be admired or their need to be loved?","1. Why is relevance so hard to share?
2. Is relevance finite?
3. Why does relevance always come at a cost?
4. In a world of scarcity, why do people think that anything that really makes us feel good (like the feeling of relevance) must be scarce?
5. What do you think is the case though?
6. I think it’s critical that we move towards a world of abundance and start with making the feeling of relevance abundant to all lives we touch (including our own).
7. Why do people still try to steal credit for other people’s work in efforts which are truly in everyone’s best interest?
8. Why do so many people publicly proclaim that they want to make the world a better place but rarely do they talk about their need to be admired or their need to be loved?"
