content,tokens,context,questions,answers
"I want to make internet access affordable for all because I think everyone should have the ability to ask a question and get a straight answer. You might think this is a nice, utopian but very expensive idea. I think otherwise. However, before going any further into why I think my goal is achievable without any major infrastructure spending program or technological breakthrough for that matter, I want us to be clear on what the internet is….
In an age of instantaneous data transfers and magical handheld devices, it’s easy to forget that the internet is physical. The internet is made up of fiber optic cables, data centers, massive co location centers like 60 Hudson Street in New York, servers, routers, cell phone towers, portions of the electromagnetic spectrum, and virtually any physical medium that allows data to be stored and transferred from one point to another using the TCP/IP protocol.
Most of this internet infrastructure is owned or leased by private enterprises. When you run a google search on your smartphone, you are accessing this infrastructure, and at month end when you make a payment to your mobile network operator or internet service provider you are indirectly paying a toll or fee required to access this internet infrastructure. Such tolls and fees help mobile network operators and internet infrastructure owners cover their own costs and earn a financial return as well.
The earliest known internet infrastructure was paid for by the US Government to make powerful computers more accessible to American researcher. Back then, accessing the internet was free for researchers, and expansion of internet infrastructure was centrally coordinated. Then in 1995 the US Govt owned infrastructure got privatized. In the same year the GSMA got established, which stands today as the largest global trade body of mobile network operators. The GSMA helped in creating standards which enabled the launch of SMS, Data and Fax services over wireless networks.",365,"I want to make internet access affordable for all because I think everyone should have the ability to ask a question and get a straight answer. You might think this is a nice, utopian but very expensive idea. I think otherwise. However, before going any further into why I think my goal is achievable without any major infrastructure spending program or technological breakthrough for that matter, I want us to be clear on what the internet is….
In an age of instantaneous data transfers and magical handheld devices, it’s easy to forget that the internet is physical. The internet is made up of fiber optic cables, data centers, massive co location centers like 60 Hudson Street in New York, servers, routers, cell phone towers, portions of the electromagnetic spectrum, and virtually any physical medium that allows data to be stored and transferred from one point to another using the TCP/IP protocol.
Most of this internet infrastructure is owned or leased by private enterprises. When you run a google search on your smartphone, you are accessing this infrastructure, and at month end when you make a payment to your mobile network operator or internet service provider you are indirectly paying a toll or fee required to access this internet infrastructure. Such tolls and fees help mobile network operators and internet infrastructure owners cover their own costs and earn a financial return as well.
The earliest known internet infrastructure was paid for by the US Government to make powerful computers more accessible to American researcher. Back then, accessing the internet was free for researchers, and expansion of internet infrastructure was centrally coordinated. Then in 1995 the US Govt owned infrastructure got privatized. In the same year the GSMA got established, which stands today as the largest global trade body of mobile network operators. The GSMA helped in creating standards which enabled the launch of SMS, Data and Fax services over wireless networks.","1. What is the internet?
2. What is the GSMA?
3. What was the role of the GSMA in the development of the internet?","1. The internet is a physical infrastructure made up of fiber optic cables, data centers, servers, routers, and cell phone towers.
2. The GSMA is a global trade body of mobile network operators.
3. The GSMA helped in creating standards which enabled the launch of SMS, Data and Fax services over wireless networks."
"This intersection of internet infrastructure privatization and launch of wireless services worldwide created a gold rush of sorts because selling connectivity services without laying down cables or wires seemed like an attractive idea to investors in telecom companies. This also meant that many telecom companies offering virtually identical services would end up building excess and overlapping infrastructure to win over customers.
For example, when mobile network operators started building out their respective wireless networks around the world, they made a conscious decision not to share cell towers because in the early days of network roll outs, coverage was viewed as a competitive advantage. A mobile network operator with presence in 60 cities was a more promising story than one with presence in 50 cities. Thus, mobile network operators often constructed cell towers right next to each other and this choice led to a scenario which was equivalent to a country building 4 to 5 overlapping highways that could not connect with one another.",173,"This intersection of internet infrastructure privatization and launch of wireless services worldwide created a gold rush of sorts because selling connectivity services without laying down cables or wires seemed like an attractive idea to investors in telecom companies. This also meant that many telecom companies offering virtually identical services would end up building excess and overlapping infrastructure to win over customers.
For example, when mobile network operators started building out their respective wireless networks around the world, they made a conscious decision not to share cell towers because in the early days of network roll outs, coverage was viewed as a competitive advantage. A mobile network operator with presence in 60 cities was a more promising story than one with presence in 50 cities. Thus, mobile network operators often constructed cell towers right next to each other and this choice led to a scenario which was equivalent to a country building 4 to 5 overlapping highways that could not connect with one another.","1. What is the author's main argument?
2. What are some examples of how the author's argument is illustrated in the text?
3. What implications does the author's argument have for the future?","1. The author's main argument is that the privatization of internet infrastructure and the launch of wireless services worldwide has led to a gold rush of sorts, as investors in telecom companies see selling connectivity services without laying down cables or wires as an attractive idea.
2. Some examples of how the author's argument is illustrated in the text include the decision by mobile network operators to not share cell towers and the construction of cell towers right next to each other.
3. The author's argument has implications for the future in that it could lead to a scenario where there are multiple overlapping highways that cannot connect with one another."
"Today, most mobile network operators no longer view coverage as a competitive advantage because a lot of the wireless infrastructure needed to provide coverage has already been built, in fact in many areas it has been over built. According to the International Telecommunication Union, 95% of the world population is touched in some way or form by a basic cellular network. Yet, we live in a situation where half the world population cannot get online largely because they cannot afford to pay the tolls and fees needed to access this information highway.
The silver lining though is that many of these overbuilt highways I speak of are under utilized, meaning capacity clearly exists to accommodate a lot more traffic. However, accommodating more traffic will require these information highways to be shared and connected more effectively so that key choke points can be released.",159,"Today, most mobile network operators no longer view coverage as a competitive advantage because a lot of the wireless infrastructure needed to provide coverage has already been built, in fact in many areas it has been over built. According to the International Telecommunication Union, 95% of the world population is touched in some way or form by a basic cellular network. Yet, we live in a situation where half the world population cannot get online largely because they cannot afford to pay the tolls and fees needed to access this information highway.
The silver lining though is that many of these overbuilt highways I speak of are under utilized, meaning capacity clearly exists to accommodate a lot more traffic. However, accommodating more traffic will require these information highways to be shared and connected more effectively so that key choke points can be released.","1. What is the main point of the text?
2. What is the main problem with the current state of mobile networks?
3. What is the solution to the main problem?","1. The main point of the text is that mobile network operators no longer view coverage as a competitive advantage because a lot of the wireless infrastructure needed to provide coverage has already been built.
2. The main problem with the current state of mobile networks is that half the world population cannot get online largely because they cannot afford to pay the tolls and fees needed to access this information highway.
3. The solution to the main problem is that accommodating more traffic will require these information highways to be shared and connected more effectively so that key choke points can be released."
"To facilitate sharing and remove choke points, infrastructure sharing companies have emerged. An infrastructure sharing company typically buys and leases back a piece of infrastructure like a cell tower to enable sharing. Three mobile network operators sharing one cell tower results in lower operating and maintenance costs for all compared to a situation when one mobile network company uses one tower all by itself. Lowering of operating costs makes it more feasible to serve customers who want to get online but cannot afford to do so.
At present 62% of total cell phone towers around the world are owned by infrastructure sharing companies, and while that number looks encouraging do bear in mind that cell towers are just one piece of internet infrastructure. To highlight this point further, even today most mobile network operators are not sharing the electronic equipment which gets installed on cell towers.",158,"To facilitate sharing and remove choke points, infrastructure sharing companies have emerged. An infrastructure sharing company typically buys and leases back a piece of infrastructure like a cell tower to enable sharing. Three mobile network operators sharing one cell tower results in lower operating and maintenance costs for all compared to a situation when one mobile network company uses one tower all by itself. Lowering of operating costs makes it more feasible to serve customers who want to get online but cannot afford to do so.
At present 62% of total cell phone towers around the world are owned by infrastructure sharing companies, and while that number looks encouraging do bear in mind that cell towers are just one piece of internet infrastructure. To highlight this point further, even today most mobile network operators are not sharing the electronic equipment which gets installed on cell towers.","1. What is an infrastructure sharing company?
2. What does an infrastructure sharing company typically do?
3. What are the benefits of infrastructure sharing?
4. What is the current percentage of cell phone towers that are owned by infrastructure sharing companies?
5. What is the main obstacle to infrastructure sharing?","1. An infrastructure sharing company is a company that buys and leases back a piece of infrastructure like a cell tower to enable sharing.
2. An infrastructure sharing company typically buys and leases back a piece of infrastructure like a cell tower to enable sharing. This lowers the operating and maintenance costs for all companies involved.
3. The benefits of infrastructure sharing are lower operating and maintenance costs and the ability to serve customers who want to get online but cannot afford to do so.
4. The current percentage of cell phone towers that are owned by infrastructure sharing companies is 62%.
5. The main obstacle to infrastructure sharing is the reluctance of mobile network operators to share the electronic equipment which gets installed on cell towers."
"While electronic equipment on cell towers in not being shared at present, it is continuing to become a lot more energy efficient and smaller in size as well. Just like mainframe computers morphed into laptops and tablets, the same trend is playing out in the world of wireless communication equipment. So while the cell towers or the power capacity attached to those towers is staying the same size, the equipment which gets installed on them is becoming a lot smaller and energy efficient.
Even using the older larger telecom equipment as a proxy, I can tell you that most cell towers have the capacity to accommodate twice as much electronic equipment as they do today.
The larger implication is that by renting out a little bit of space on cell towers which is not getting used to begin with, combined with energy efficient small size electronic equipment, while utilizing the immense computing capacity available in billions of smart phones, a company or cooperative could theoretically create a connectivity service that is a lot cheaper than any alternative simply because this new service I speak of would not have to build infrastructure to get coverage in the first place and will not be held back by highly bureaucratic processes either.
A good example is FabFi, which is a wireless internet network made by MIT’s FabLab in Jalalabad Afghanistan using trash in 2010. This network remains one of the cheapest wireless networks ever built. If instead of trash, what if FabFi equipment could be installed on small little rented spaces on towers across the globe? Could such an idea help make internet access affordable and ubiquitous?",304,"While electronic equipment on cell towers in not being shared at present, it is continuing to become a lot more energy efficient and smaller in size as well. Just like mainframe computers morphed into laptops and tablets, the same trend is playing out in the world of wireless communication equipment. So while the cell towers or the power capacity attached to those towers is staying the same size, the equipment which gets installed on them is becoming a lot smaller and energy efficient.
Even using the older larger telecom equipment as a proxy, I can tell you that most cell towers have the capacity to accommodate twice as much electronic equipment as they do today.
The larger implication is that by renting out a little bit of space on cell towers which is not getting used to begin with, combined with energy efficient small size electronic equipment, while utilizing the immense computing capacity available in billions of smart phones, a company or cooperative could theoretically create a connectivity service that is a lot cheaper than any alternative simply because this new service I speak of would not have to build infrastructure to get coverage in the first place and will not be held back by highly bureaucratic processes either.
A good example is FabFi, which is a wireless internet network made by MIT’s FabLab in Jalalabad Afghanistan using trash in 2010. This network remains one of the cheapest wireless networks ever built. If instead of trash, what if FabFi equipment could be installed on small little rented spaces on towers across the globe? Could such an idea help make internet access affordable and ubiquitous?","1. What is the trend in wireless communication equipment?
2. How is this trend impacting cell towers?
3. What is the potential for a new service that uses small, energy efficient equipment?
4. How does FabFi provide wireless internet access?
5. What are the implications of this technology?","1. The trend in wireless communication equipment is towards smaller, more energy efficient devices.
2. This trend is impacting cell towers by making the equipment smaller and more energy efficient.
3. The potential for a new service that uses small, energy efficient equipment is great.
4. FabFi provides wireless internet access by using small, energy efficient equipment installed on cell towers.
5. The implications of this technology are that it could make internet access affordable and ubiquitous."
"To some extent yes, but a global FabFi type wireless network will require access to something called spectrum. Spectrum is basically airwaves which are used by mobile network operators, TV stations and radio stations to transmit signals. Some spectrum like the one used by Wi-Fi routers or Bluetooth devices is free to use, most of it though, is allocated through auctions by governments. Governments have been known to charge as much as possible for licensing spectrum, and this desire to maximize spectrum price is a major factor other than the overlapping infrastructure capacity which keeps cost of connectivity high. The silver lining here is that similar to all other pieces of internet infrastructure, spectrum can also be shared.
A great example of a product using amateur spectrum on a shared basis is FireChat, this product is a messenger that works without an internet connection because FireChat creates a network of smart phones. If a quarter of people in this hall had FireChat installed and were equally spread out, I could send a message all the way to the back of the hall through FireChat without switching on my data service.",214,"To some extent yes, but a global FabFi type wireless network will require access to something called spectrum. Spectrum is basically airwaves which are used by mobile network operators, TV stations and radio stations to transmit signals. Some spectrum like the one used by Wi-Fi routers or Bluetooth devices is free to use, most of it though, is allocated through auctions by governments. Governments have been known to charge as much as possible for licensing spectrum, and this desire to maximize spectrum price is a major factor other than the overlapping infrastructure capacity which keeps cost of connectivity high. The silver lining here is that similar to all other pieces of internet infrastructure, spectrum can also be shared.
A great example of a product using amateur spectrum on a shared basis is FireChat, this product is a messenger that works without an internet connection because FireChat creates a network of smart phones. If a quarter of people in this hall had FireChat installed and were equally spread out, I could send a message all the way to the back of the hall through FireChat without switching on my data service.","1. What is spectrum and why is it important for a global FabFi type wireless network?
2. How much does spectrum cost and why?
3. Can spectrum be shared and if so, how?
4. What is an example of a product that uses amateur spectrum on a shared basis?","1. Spectrum is a range of electromagnetic frequencies that are used for communication purposes. It is important for a global FabFi type wireless network because it is necessary for transmitting signals between devices.
2. Spectrum can cost a lot of money, depending on the frequency and the country. This is because governments often auction off spectrum to the highest bidder in order to maximize revenue.
3. Spectrum can be shared, as demonstrated by the FireChat app. This app creates a network of smart phones that can communicate with each other without an internet connection.
4. The FireChat app is an example of a product that uses amateur spectrum on a shared basis. This app allows people to communicate with each other without an internet connection."
"So clearly we have a situation where the technology and infrastructure capacity both exist to reduce the cost of internet access, but such technologies are not well distributed. Why?

Primarily because mobile network operators have created an inflated cost base which makes it impossible to provide internet services to less affluent communities, but also because FabFi like solutions appear quite technical in nature. Good thing is that already there are many companies consciously innovating to make wireless communication equipment a lot more modular and user friendly. Examples of such products include the Supabrick by BRCK and MeshPotato by Village Telco Project.",120,"So clearly we have a situation where the technology and infrastructure capacity both exist to reduce the cost of internet access, but such technologies are not well distributed. Why?

Primarily because mobile network operators have created an inflated cost base which makes it impossible to provide internet services to less affluent communities, but also because FabFi like solutions appear quite technical in nature. Good thing is that already there are many companies consciously innovating to make wireless communication equipment a lot more modular and user friendly. Examples of such products include the Supabrick by BRCK and MeshPotato by Village Telco Project.","1. What is the inflated cost base that mobile network operators have created?
2. What makes wireless communication equipment more modular and user friendly?
3. Why are these products good examples of innovations that are making wireless communication more user friendly?","1. The inflated cost base that mobile network operators have created is primarily due to the fact that they have created an artificial scarcity of bandwidth.
2. Wireless communication equipment is becoming more modular and user friendly because companies are making it easier to use and more affordable.
3. These products are good examples of innovations that are making wireless communication more user friendly because they are more affordable and easier to use."
"A combination of shared infrastructure, user friendly wireless equipment and amateur spectrum will not prove sufficient to live stream Game of Thrones in high definition, but such a service will make it feasible to run a basic google search and steam an audio podcast as well.
I envision a future when a Kalasha girl living in Northwest Pakistan can afford to own a device which she can speak into in her own language and get a straight answer. This is not feasible today considering 56% of web content is English, she can barely afford a smartphone and speech to text technologies have not quite matured. However, I stand convinced that a day will arrive when she will be able to speak into a device, ask a question about how best to treat her daughter’s fever, and get a straight answer. When that day comes, I want to ensure that this girl right here can afford to access the internet.",177,"A combination of shared infrastructure, user friendly wireless equipment and amateur spectrum will not prove sufficient to live stream Game of Thrones in high definition, but such a service will make it feasible to run a basic google search and steam an audio podcast as well.
I envision a future when a Kalasha girl living in Northwest Pakistan can afford to own a device which she can speak into in her own language and get a straight answer. This is not feasible today considering 56% of web content is English, she can barely afford a smartphone and speech to text technologies have not quite matured. However, I stand convinced that a day will arrive when she will be able to speak into a device, ask a question about how best to treat her daughter’s fever, and get a straight answer. When that day comes, I want to ensure that this girl right here can afford to access the internet.","1. What is the main argument of the text?
2. What does the author believe is necessary for people to be able to access the internet?
3. What does the author believe will be the future of the internet?","1. The main argument of the text is that a combination of shared infrastructure, user friendly wireless equipment, and amateur spectrum will not be sufficient to live stream Game of Thrones in high definition, but that such a service will make it feasible to run a basic google search and steam an audio podcast.
2. The author believes that it is necessary for people to be able to afford devices in order to access the internet.
3. The author believes that the future of the internet will be one in which people will be able to speak into devices and get answers in their own language."
"At present I don’t have a business model in my mind that will help me sustain this quest for answers, but I have roughly 3 years worth of savings to push this conversation as far as possible. I believe the best way to predict the future is to create it and that is why I decided to quit my career from the world of private equity investments and corporate board rooms.
I learned recently that there are 43 quintillion possible combinations of a Rubik’s cube, but in any position there are 20 moves that solves the cube. However, you have to get the first few moves right. I am convinced that making internet access affordable for all is an optimal first move. If we get this first move right I believe overcoming other global grand challenges we face today will become a lot easier as well, and we will finally become able to regulate this cyber river which we’ve all grown to depend on for our survival and prosperity.",191,"At present I don’t have a business model in my mind that will help me sustain this quest for answers, but I have roughly 3 years worth of savings to push this conversation as far as possible. I believe the best way to predict the future is to create it and that is why I decided to quit my career from the world of private equity investments and corporate board rooms.
I learned recently that there are 43 quintillion possible combinations of a Rubik’s cube, but in any position there are 20 moves that solves the cube. However, you have to get the first few moves right. I am convinced that making internet access affordable for all is an optimal first move. If we get this first move right I believe overcoming other global grand challenges we face today will become a lot easier as well, and we will finally become able to regulate this cyber river which we’ve all grown to depend on for our survival and prosperity.","1. What is the speaker's business model?
2. How long does the speaker have to achieve their goal?
3. What is the speaker's first move?
4. Why is this the speaker's first move?","1. The speaker's business model is to make internet access affordable for all.
2. The speaker has three years to achieve their goal.
3. The speaker's first move is to make internet access affordable for all.
4. The speaker believes that making internet access affordable for all is the best way to predict the future."
"Why do I crave relevance?
I crave for relevance because feeling relevant truly makes me feel alive.

Days when I feel irrelevant are terrible, and often bring out the worst in me because all my insecurities get triggered when I’m feeling irrelevant. I’ve still not reached a level of emotional awareness required to navigate through those days.

I can explain away my behavior as cause and effect, but then why do I grudge another for also craving the feeling of relevance?

Why am I unable to internalize that when those craving relevance don’t receive it, their insecurities get triggered and they react badly (same way as I do).

Why is relevance so hard to share?

Is relevance finite?

Why does relevance always come at a cost?",167,"Why do I crave relevance?
I crave for relevance because feeling relevant truly makes me feel alive.

Days when I feel irrelevant are terrible, and often bring out the worst in me because all my insecurities get triggered when I’m feeling irrelevant. I’ve still not reached a level of emotional awareness required to navigate through those days.

I can explain away my behavior as cause and effect, but then why do I grudge another for also craving the feeling of relevance?

Why am I unable to internalize that when those craving relevance don’t receive it, their insecurities get triggered and they react badly (same way as I do).

Why is relevance so hard to share?

Is relevance finite?

Why does relevance always come at a cost?","1. What makes feeling relevant so important to the author?
2. How do days when the author feels irrelevant make her feel?
3. Why does the author grudge others for also craving relevance?
4. Is relevance finite?
5. Why does relevance always come at a cost?","1. The author feels that feeling relevant makes her feel alive.
2. Days when the author feels irrelevant make her feel terrible and often bring out the worst in her because all her insecurities get triggered.
3. The author grudges others for also craving relevance because she is unable to internalize that when those craving relevance don't receive it, their insecurities get triggered and they react badly (same way as she does).
4. Relevance is not finite, but it always comes at a cost.
5. Relevance always comes at a cost because it is a scarce resource."
"Why is relevance so hard to share?

Is relevance finite?

Why does relevance always come at a cost?

In a world of scarcity the mind has grown to internalize that anything that really makes us feel good (like the feeling of relevance) must be scarce because hey all good things are scarce. In fact some even think that unless a thing is scarce, it can’t really be good. Is that really the case though? I’m not sure. What do you think?

I think it’s critical that we move towards a world of abundance and start with making the feeling of relevance abundant to all lives we touch (including our own).

Why do people still try to steal credit for other people’s work in efforts which are truly in everyone’s best interest? Why do so many people publicly proclaim that they want to make the world a better place but rarely do they talk about their need to be admired or their need to be loved?",206,"Why is relevance so hard to share?

Is relevance finite?

Why does relevance always come at a cost?

In a world of scarcity the mind has grown to internalize that anything that really makes us feel good (like the feeling of relevance) must be scarce because hey all good things are scarce. In fact some even think that unless a thing is scarce, it can’t really be good. Is that really the case though? I’m not sure. What do you think?

I think it’s critical that we move towards a world of abundance and start with making the feeling of relevance abundant to all lives we touch (including our own).

Why do people still try to steal credit for other people’s work in efforts which are truly in everyone’s best interest? Why do so many people publicly proclaim that they want to make the world a better place but rarely do they talk about their need to be admired or their need to be loved?","1. What is the author's main point in this text?
2. Why is relevance so hard to share?
3. Is relevance finite?
4. Why does relevance always come at a cost?
5. In what ways do people try to take credit for other people's work?
6. Why do people proclaim that they want to make the world a better place, but rarely talk about their need to be loved?","1. The author's main point in this text is that people find it hard to share relevance because they think that good things are scarce.
2. People find it hard to share relevance because they think that good things are scarce, and because they want to be admired and loved.
3. Relevance is not finite.
4. Relevance always comes at a cost because people want to be admired and loved.
5. People try to take credit for other people's work because they want to be admired and loved.
6. People proclaim that they want to make the world a better place because they want to be admired and loved."
"Why do I publicly proclaim that I want to make internet access affordable for all and that I don’t care whether I receive some sort of recognition, even though I do!

Can I feel relevance without recognition? I don’t think so. Can anyone feel relevance without recognition?

Why then do I grudge another for craving recognition?

Why is it so hard to love insecure people?

Why must we hate insecurities? Why must I hate insecurities?

Interestingly I’ve found that love is an element of abundance. People who love the most number of other people also get the most most amount of love back. Such people also don’t find it hard to love themselves. A loving environment minimizes the chances of triggering or creating more insecurities, thereby reducing the desire for people to seek recognition, thereby helping share relevance more easily with more people.

Can being gentle and loving towards other life become the most important thing we do?",206,"Why do I publicly proclaim that I want to make internet access affordable for all and that I don’t care whether I receive some sort of recognition, even though I do!

Can I feel relevance without recognition? I don’t think so. Can anyone feel relevance without recognition?

Why then do I grudge another for craving recognition?

Why is it so hard to love insecure people?

Why must we hate insecurities? Why must I hate insecurities?

Interestingly I’ve found that love is an element of abundance. People who love the most number of other people also get the most most amount of love back. Such people also don’t find it hard to love themselves. A loving environment minimizes the chances of triggering or creating more insecurities, thereby reducing the desire for people to seek recognition, thereby helping share relevance more easily with more people.

Can being gentle and loving towards other life become the most important thing we do?","1. Why do we find it hard to love insecure people?
2. Why do we need to hate insecurities?
3. How can being gentle and loving towards other life become the most important thing we do?","1. We find it hard to love insecure people because they are often needy and demanding. They can also be quite insecure themselves, which makes it difficult for them to trust others.
2. We need to hate insecurities because they can be damaging and destructive. Insecurity can lead to a lack of self-confidence and self-esteem, which can in turn lead to problems in relationships and at work.
3. Being gentle and loving towards other life can become the most important thing we do because it can help to create a more loving and supportive environment. This in turn can help to reduce the need for people to seek recognition, and make it easier for them to share relevance with others."
"Can being gentle and loving towards other life become the most important thing we do?

Why is it to hard to love the self? Is there one self? I don’t think so. What do you think?

I’ve found that I can be the kindest person at the same time the harshest, cruelest, most evil person. There’s plenty I’m proud of there’s plenty I’m utterly ashamed off.

I was asked recently at TEdx San Francisco, what if I were known for the absolute worst thing I’ve done? The thought shook me. I then thought about how luck has played a role in shaping my life and how luck is random.",154,"Can being gentle and loving towards other life become the most important thing we do?

Why is it to hard to love the self? Is there one self? I don’t think so. What do you think?

I’ve found that I can be the kindest person at the same time the harshest, cruelest, most evil person. There’s plenty I’m proud of there’s plenty I’m utterly ashamed off.

I was asked recently at TEdx San Francisco, what if I were known for the absolute worst thing I’ve done? The thought shook me. I then thought about how luck has played a role in shaping my life and how luck is random.","1. What is the speaker's opinion on being gentle and loving towards other life?
2. Why is it hard to love the self?
3. Is there one self?
4. What does the speaker think about being known for the worst thing they've done?","1. The speaker believes that being gentle and loving towards other life can become the most important thing we do.
2. It is hard to love the self because the self is not one entity, but rather a compilation of many different aspects of our lives.
3. There is no one self, because the self is constantly changing and evolving.
4. The speaker is troubled by the idea of being known for the worst thing they've done, because it implies that luck has played a role in shaping their life in a negative way."
"This lady from defy ventures asked a crowd “how many of you have done something borderline illegal before the age of 23”, about 40 pct hands went up. Then she asked, “how many of you were actually arrested?”. 2 pct of the hands went up. Maybe the percentage is actually higher because some may have opted out because it’s embarrassing to admit such things but that exercise made me feel grateful that life has been extremely kind to me. Life has been forgiving of my mistakes.

It made me wonder how forgiving I am of other people’s mistakes?

How can we make the feeling of relevance abundant?

Can we get there by just being nice to one another?

Can we stop grudging others for trying to steal our good work?

I mean so long as a good outcome happens, why is it important that the world know that it was ME who actually engineered it?",196,"This lady from defy ventures asked a crowd “how many of you have done something borderline illegal before the age of 23”, about 40 pct hands went up. Then she asked, “how many of you were actually arrested?”. 2 pct of the hands went up. Maybe the percentage is actually higher because some may have opted out because it’s embarrassing to admit such things but that exercise made me feel grateful that life has been extremely kind to me. Life has been forgiving of my mistakes.

It made me wonder how forgiving I am of other people’s mistakes?

How can we make the feeling of relevance abundant?

Can we get there by just being nice to one another?

Can we stop grudging others for trying to steal our good work?

I mean so long as a good outcome happens, why is it important that the world know that it was ME who actually engineered it?","1. What did the lady from defy ventures ask the crowd?
2. How many people raised their hands when she asked how many of them had done something borderline illegal before the age of 23?
3. How many people raised their hands when she asked how many of them had been arrested?
4. What did the lady from defy ventures ask the crowd next?
5. What is the author's opinion of the lady from defy ventures' questions?
6. How can we make the feeling of relevance abundant?
7. Can we get there by just being nice to one another?
8. Can we stop grudging others for trying to steal our good work?
9. What is the author's opinion of the relevance of the lady from defy ventures' questions?","1. The lady from defy ventures asked the crowd how many of them had done something borderline illegal before the age of 23, and how many of them had been arrested.
2. About 40% of the hands went up when she asked how many of them had done something borderline illegal before the age of 23, and 2% of the hands went up when she asked how many of them had been arrested.
3. None of the hands went up when she asked how many of them had been arrested.
4. The lady from defy ventures asked the crowd next how many of them felt grateful that life had been extremely kind to them.
5. The author's opinion of the lady from defy ventures' questions is that they are relevant.
6. The author believes that we can make the feeling of relevance abundant by just being nice to one another.
7. The author believes that we can get there by just being nice to one another.
8. The author believes that we can stop grudging others for trying to steal our good work by being nice to one another.
9. The author's opinion of the relevance of the lady from defy ventures' questions is that they are relevant."
"Can we stop grudging others for trying to steal our good work?

I mean so long as a good outcome happens, why is it important that the world know that it was ME who actually engineered it?

I think because I still think that without recognition I cannot really feel relevant so to some extent I optimize for recognition but say I’m optimizing for purpose.

I hate my own hypocrisy, but that doesn’t help.

I’ve found that I’m more loving on days when I’m not feeling insecure. I’ve found that when I’m loving towards others, they also feel good and a virtuous cycle develops.

It’s all really about love’s ability to create virtuous cycles. I think all my life I’ve been wanting to create a more loving environment. I’ve experienced a genuine loving environment most of the time, at times I haven’t. Whenever I haven’t its usually been the time when I’ve not been loving towards myself .",224,"Can we stop grudging others for trying to steal our good work?

I mean so long as a good outcome happens, why is it important that the world know that it was ME who actually engineered it?

I think because I still think that without recognition I cannot really feel relevant so to some extent I optimize for recognition but say I’m optimizing for purpose.

I hate my own hypocrisy, but that doesn’t help.

I’ve found that I’m more loving on days when I’m not feeling insecure. I’ve found that when I’m loving towards others, they also feel good and a virtuous cycle develops.

It’s all really about love’s ability to create virtuous cycles. I think all my life I’ve been wanting to create a more loving environment. I’ve experienced a genuine loving environment most of the time, at times I haven’t. Whenever I haven’t its usually been the time when I’ve not been loving towards myself .","1. What is the author's main point?
2. What are the author's thoughts on recognition?
3. How does the author feel about love?","1. The author's main point is that we should stop grudging others for trying to steal our good work, and instead focus on creating a more loving environment.
2. The author believes that recognition is important, but only to a certain extent. They feel that recognition is less important than creating a more loving environment.
3. The author feels that love is important, and that it has the ability to create virtuous cycles."
"I’m trying to create a loving environment now in an effort that is going to make internet access affordable for all because I genuinely believe that everyone should have the ability to ask a question and get an answer.

I also believe that everyone should be able to feel relevant because everyone deserves to truly feel alive.

Thank you for reading this till the end, I would love to hear your responses to my questions.",86,"I’m trying to create a loving environment now in an effort that is going to make internet access affordable for all because I genuinely believe that everyone should have the ability to ask a question and get an answer.

I also believe that everyone should be able to feel relevant because everyone deserves to truly feel alive.

Thank you for reading this till the end, I would love to hear your responses to my questions.","1. What motivates the author to make internet access affordable for all?
2. What does the author believe that everyone deserves?
3. What does the author believe will make people feel truly alive?","1. The author is motivated by a belief that everyone should have the ability to access the internet in order to ask questions and get answers.
2. The author believes that everyone deserves to feel relevant and truly alive.
3. The author believes that providing affordable internet access will make people feel truly alive."
"5 themes observed in broadband initiatives across rural America
Local communities in rural America are showing what needs to happen to make “Internet for all” financially feasible on a global scale, this post elaborates 5 themes I observed at the Broadband Communities Conference held in Ontario CA (Oct 2018)",59,"5 themes observed in broadband initiatives across rural America
Local communities in rural America are showing what needs to happen to make “Internet for all” financially feasible on a global scale, this post elaborates 5 themes I observed at the Broadband Communities Conference held in Ontario CA (Oct 2018)","1. What are the five themes that were observed at the Broadband Communities Conference?
2. What are the benefits of broadband initiatives across rural America?
3. What makes ""Internet for all"" financially feasible on a global scale?","1. The five themes that were observed at the Broadband Communities Conference are: local communities taking the lead, public/private partnerships, using technology to its fullest potential, a focus on the customer, and a need for policy change.
2. The benefits of broadband initiatives across rural America are: increased economic development, improved education and healthcare, and increased social and civic engagement.
3. What makes ""Internet for all"" financially feasible on a global scale is a combination of public and private investment, innovative technology, and policy change."
